AgvOpHours,AGVVersion,AxleLoadFront,AxleLoadRear,BatIsEveryBatteryFullyCharged,BatMinTemperature,BatStateOfChargePercentage,BatStateOfChargePercentageTemperature,Batt1BatteryID,Batt1CumulatedAhInDischarge,Batt2CumulatedAhInDischarge,Batt3CumulatedAhInDischarge,Batt4CumulatedAhInDischarge,Batt5CumulatedAhInDischarge,Batt6CumulatedAhInDischarge,Batt7CumulatedAhInDischarge,Batt8CumulatedAhInDischarge,Batt9CumulatedAhInDischarge,DrivingDistanceBackward,DrivingDistanceForward,DrivingOpHours,HighPressOpHours,LiftStateFront,LiftStateRear,PLCHydraulicCoolingOn,PLCVersion,TemperatureCabinetL1,TemperatureCabinetL2,TemperatureCabinetL3,TemperatureCabinetL4,TimeBeingAllocated,target
12095,None,14000,11000,None,40,81,81,AB_003_1,196163,195554,195852,196011,194878,190880,191976,194857,194599,20835,20535,4858,6345,0,0,1,None,28,33,32,28,25476,Management System - Direct Stop
11639,100180514,6000,22000,None,25,76,72,AB_016_1,201980,203355,203798,204062,202505,198962,202342,204409,203723,3497,3381,4135,5419,0,0,0,None,26,32,30,26,2674,Management System - Direct Stop
12165,None,1000,0,None,45,100,100,AB_094_1,208207,209380,211383,210766,210400,209094,210542,212180,208400,3315,3181,4873,6388,0,0,0,None,28,30,31,27,2644,Management System - Direct Stop
12435,100180514,0,0,None,38,74,74,AB_084_1,187649,190172,190059,190211,189366,186675,190091,190192,188457,21434,20987,4970,6500,0,0,0,None,27,32,29,29,27091,Management System - Direct Stop
11639,100180514,4000,6000,None,25,78,74,AB_016_1,201974,203348,203791,204055,202498,198955,202336,204402,203716,3496,3381,4135,5419,0,0,0,None,26,33,30,26,2673,Management System - Direct Stop
12250,None,0,0,None,24,83,78,AB_039_1,199861,201248,202557,201693,199163,199580,198868,201763,200799,20606,20206,4861,6363,0,0,0,None,26,32,31,26,25020,Management System - Direct Stop
8871,100180514,0,0,None,31,56,56,AB_107_1,211214,210522,214013,211724,213244,209066,209489,210996,211563,1278,1222,3711,4817,0,0,0,None,25,32,29,26,923,Management System - Direct Stop
11345,None,3000,3000,None,17,69,60,AB_017_1,182128,189456,191100,190607,190707,188540,190284,187634,189634,18609,18359,4614,6007,0,0,0,None,27,30,28,26,18335,Management System - Direct Stop
12041,None,22000,23000,None,32,54,54,AB_102_1,194549,190440,195321,194183,191033,192005,193634,186247,194091,18680,18410,4309,5664,0,0,0,None,25,28,26,24,17684,Management System - Direct Stop
12041,None,22000,23000,None,33,54,54,AB_102_1,194548,190440,195320,194182,191033,192005,193633,186247,194090,18680,18410,4309,5664,0,0,0,None,25,28,26,23,17684,Management System - Direct Stop
