WO_NUM,WO_DESCR,WO_STATUS,WO_WORKTYPE,WO_CLASS,WO_PRIO,WO_LOCATION,WO_ASSET,WO_PM,WO_JOBPLAN,WO_PROBLEMCODE,WO_SUPERVISOR,WO_LEAD,WO_OWNER,WO_FAILCODE,WO_PROBLEM,WO_REMEDY,WO_CAUSE,WO_REPORTDATE,WO_ACTCOMP
"WO237696                                                                                            ","No TCP-IP Connect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",2,"AGV506_                                                                                             ","AGV506-10-100                                                                                       ","                                                                                                    ","                                                                                                    ","AUTOMATI                                                                                            ","FRANK.ZIJLMANS                                                                                      ","RON.VANDERVINNE                                                                                     ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","AUTOMATI                                                                                            ","RESET                                                                                               ","COMMUNIC                                                                                            ",2018-02-22 00:00:00.0000000,2018-02-22 00:00:00.0000000
"WO237699                                                                                            ","Hydraulic System - Pressure Reservoir Sensor Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV511_                                                                                             ","AGV511-10-075                                                                                       ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","PATRICK.DURIVOU                                                                                     ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","REPAIR                                                                                              ","HYDRAUL                                                                                             ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237702                                                                                            ","Lift Platform - Cylinder Warnung - RL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV551_                                                                                             ","AGV551-50-075                                                                                       ","                                                                                                    ","                                                                                                    ","ROD DEF                                                                                             ","RAIMOND.BEVAART                                                                                     ","PATRICK.DURIVOU                                                                                     ","TOMMY.VERMEULEN                                                                                     ","CYL                                                                                                 ","ROD DEF                                                                                             ","ADJUST                                                                                              ","EXT FOR                                                                                             ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237707                                                                                            ","Steering System - Steering Fault - F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV542_                                                                                             ","AGV542-40                                                                                           ","                                                                                                    ","                                                                                                    ","STEER                                                                                               ","RAIMOND.BEVAART                                                                                     ","PATRICK.DURIVOU                                                                                     ","                                                                                                    ","AGV                                                                                                 ","STEER                                                                                               ","ADJUST                                                                                              ","POSITION                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237717                                                                                            ","Ultrasonic Sensor - Rack Occupied Sensor Error - FR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV522_                                                                                             ","AGV522-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","NO SIG                                                                                              ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","SEN                                                                                                 ","NO SIG                                                                                              ","ADJUST                                                                                              ","LOOSE CN                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237719                                                                                            ","Ultrasonic Sensor - Rack Navigation Sensor Error - FR1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV517_                                                                                             ","AGV517-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","PATRICK.DURIVOU                                                                                     ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237721                                                                                            ","Navigation Computer - Lift Platforms not Raised                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV529_                                                                                             ","AGV529-20                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","RAIMOND.BEVAART                                                                                     ","RONNY.VANRIJSWIJK                                                                                   ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","REST                                                                                                ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237730                                                                                            ","AGV - Brakes Engaged While Driving                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV524_                                                                                             ","AGV524-30                                                                                           ","                                                                                                    ","                                                                                                    ","DRIVE                                                                                               ","FRANK.ZIJLMANS                                                                                      ","EDDY.VANMEIJEREN                                                                                    ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","DRIVE                                                                                               ","REPAIR                                                                                              ","SENSOR                                                                                              ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237739                                                                                            ","Hydraulic System - Pressure Reservoir Sensor Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV523_                                                                                             ","AGV523-10-075                                                                                       ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","EDDY.VANMEIJEREN                                                                                    ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","ADJUST                                                                                              ","HYDRAUL                                                                                             ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237740                                                                                            ","Navigation Computer - Undetermined Lift Platform State                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV523_                                                                                             ","AGV523-50-065                                                                                       ","                                                                                                    ","                                                                                                    ","LIFT                                                                                                ","FRANK.ZIJLMANS                                                                                      ","EDDY.VANMEIJEREN                                                                                    ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","LIFT                                                                                                ","ADJUST                                                                                              ","POSITION                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237748                                                                                            ","Lift Platform Cylinder Warnung - RMR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV546_                                                                                             ","AGV546-50                                                                                           ","                                                                                                    ","                                                                                                    ","LIFT                                                                                                ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","                                                                                                    ","AGV                                                                                                 ","LIFT                                                                                                ","OVERHAUL                                                                                            ","POSITION                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237749                                                                                            ","No TCP-IP Connect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV546_                                                                                             ","AGV546-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","NO SIG                                                                                              ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","                                                                                                    ","SEN                                                                                                 ","NO SIG                                                                                              ","OTHER                                                                                               ","LOOSE CN                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237750                                                                                            ","No TCP-IP Connect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV504_                                                                                             ","AGV504-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","NO SIG                                                                                              ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","SEN                                                                                                 ","NO SIG                                                                                              ","OTHER                                                                                               ","LOOSE CN                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237754                                                                                            ","Brake System - Brake Pressure Low                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV513_                                                                                             ","AGV513-30-010                                                                                       ","                                                                                                    ","                                                                                                    ","BD SENS                                                                                             ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","BRK                                                                                                 ","BD SENS                                                                                             ","RESET                                                                                               ","SHFT SN                                                                                             ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237756                                                                                            ","No TCP-IP Connect                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV501_                                                                                             ","AGV501-20-025                                                                                       ","                                                                                                    ","                                                                                                    ","NO SIG                                                                                              ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","SEN                                                                                                 ","NO SIG                                                                                              ","OTHER                                                                                               ","LOOSE CN                                                                                            ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237757                                                                                            ","E-Stop Engaged - Hydraulic Cabinet Error (+L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV501_                                                                                             ","AGV501-10                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","WALTER.VANWINGERDEN                                                                                 ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","RESET                                                                                               ","REST                                                                                                ",2018-02-23 00:00:00.0000000,2018-02-23 00:00:00.0000000
"WO237760                                                                                            ","Navigation Computer - Drive Tracking Error                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",2,"AGV517_                                                                                             ","AGV517-30                                                                                           ","                                                                                                    ","                                                                                                    ","DRIVE                                                                                               ","FRANK.ZIJLMANS                                                                                      ","RON.VANDERVINNE                                                                                     ","                                                                                                    ","AGV                                                                                                 ","DRIVE                                                                                               ","RESET                                                                                               ","COMMUNIC                                                                                            ",2018-02-24 00:00:00.0000000,2018-02-24 00:00:00.0000000
"WO237878                                                                                            ","Power In-Feed - Pre-Charging 720 V Fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV516_                                                                                             ","AGV516-10-095                                                                                       ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","RON.VANDERVINNE                                                                                     ","TOMMY.VERMEULEN                                                                                     ","AGV                                                                                                 ","GENERAL                                                                                             ","OTHER                                                                                               ","ELECTRI                                                                                             ",2018-02-24 00:00:00.0000000,2018-02-24 00:00:00.0000000
"WO237879                                                                                            ","Navigation Computer - Expected Brake Path too Long                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ","CLOSE                                                                                               ","CM10                                                                                                ","WORKORDER                                                                                           ",1,"AGV511_                                                                                             ","AGV511-20                                                                                           ","                                                                                                    ","                                                                                                    ","GENERAL                                                                                             ","FRANK.ZIJLMANS                                                                                      ","CHRISTIAN.GOUDAPPEL                                                                                 ","                                                                                                    ","AGV                                                                                                 ","GENERAL                                                                                             ","OTHER                                                                                               ","REST                                                                                                ",2018-02-24 00:00:00.0000000,2018-02-24 00:00:00.0000000
